Brown University Keck/NASA Relab Spectrum LR-CMP-098/BKR1LR098
Wavelength(micron)	Reflectance
3.1657	0.33471
3.1676	0.33498
3.1696	0.33524
3.1715	0.33533
3.1735	0.33555
3.1754	0.33602
3.1773	0.33641
3.1793	0.33668
3.1812	0.33693
3.1832	0.33721
3.1851	0.33738
3.1871	0.33767
3.1891	0.33803
3.191	0.33831
3.193	0.33856
3.195	0.33883
3.1969	0.33911
3.1989	0.33937
3.2009	0.33958
3.2029	0.33972
3.2048	0.33979
3.2068	0.34000
3.2088	0.34027
3.2108	0.34064
3.2128	0.34107
3.2148	0.34134
3.2168	0.34149
3.2188	0.34178
3.2208	0.34208
3.2228	0.34232
3.2248	0.34254
3.2268	0.34275
3.2288	0.34303
3.2308	0.34329
3.2328	0.34354
3.2348	0.34368
3.2369	0.34385
3.2389	0.34411
3.2409	0.34428
3.2429	0.34443
3.2449	0.34464
3.247	0.34475
3.249	0.34495
3.2511	0.34534
3.2531	0.34570
3.2551	0.34593
3.2572	0.34613
3.2592	0.34626
3.2613	0.34647
3.2633	0.34682
3.2654	0.34713
3.2674	0.34735
3.2695	0.34754
3.2716	0.34778
3.2736	0.34805
3.2757	0.34828
3.2778	0.34851
3.2798	0.34883
3.2819	0.34912
3.284	0.34930
3.2861	0.34944
3.2882	0.34966
3.2902	0.35005
3.2923	0.35038
3.2944	0.35053
3.2965	0.35068
3.2986	0.35096
3.3007	0.35123
3.3028	0.35153
3.3049	0.35176
3.307	0.35195
3.3091	0.35218
3.3113	0.35238
3.3134	0.35254
3.3155	0.35266
3.3176	0.35270
3.3197	0.35287
3.3219	0.35317
3.324	0.35353
3.3261	0.35379
3.3283	0.35398
3.3304	0.35411
3.3325	0.35422
3.3347	0.35428
3.3368	0.35436
3.339	0.35445
3.3411	0.35438
3.3433	0.35444
3.3454	0.35457
3.3476	0.35455
3.3498	0.35452
3.3519	0.35435
3.3541	0.35409
3.3563	0.35390
3.3584	0.35377
3.3606	0.35348
3.3628	0.35308
3.365	0.35268
3.3672	0.35226
3.3694	0.35182
3.3715	0.35148
3.3737	0.35126
3.3759	0.35120
3.3781	0.35134
3.3803	0.35169
3.3825	0.35210
3.3847	0.35249
3.3869	0.35282
3.3892	0.35312
3.3914	0.35319
3.3936	0.35302
3.3958	0.35273
3.3981	0.35242
3.4003	0.35211
3.4025	0.35165
3.4047	0.35115
3.407	0.35070
3.4092	0.35031
3.4115	0.34996
3.4137	0.34973
3.416	0.34984
3.4182	0.35019
3.4205	0.35080
3.4227	0.35161
3.425	0.35248
3.4273	0.35333
3.4295	0.35416
3.4318	0.35487
3.4341	0.35563
3.4363	0.35639
3.4386	0.35701
3.4409	0.35754
3.4432	0.35803
3.4455	0.35856
3.4478	0.35906
3.4501	0.35946
3.4523	0.35982
3.4546	0.36023
3.4569	0.36069
3.4593	0.36108
3.4616	0.36143
3.4639	0.36168
3.4662	0.36183
3.4685	0.36193
3.4708	0.36200
3.4732	0.36206
3.4755	0.36220
3.4778	0.36231
3.4801	0.36236
3.4825	0.36263
3.4848	0.36295
3.4872	0.36309
3.4895	0.36314
3.4919	0.36312
3.4942	0.36306
3.4966	0.36298
3.4989	0.36300
3.5013	0.36319
3.5037	0.36368
3.506	0.36440
3.5084	0.36529
3.5108	0.36627
3.5132	0.36723
3.5155	0.36812
3.5179	0.36889
3.5203	0.36943
3.5227	0.36984
3.5251	0.37037
3.5275	0.37085
3.5299	0.37123
3.5323	0.37159
3.5347	0.37190
3.5371	0.37220
3.5395	0.37248
3.5419	0.37275
3.5444	0.37302
3.5468	0.37329
3.5492	0.37352
3.5517	0.37377
3.5541	0.37402
3.5565	0.37428
3.559	0.37449
3.5614	0.37474
3.5639	0.37499
3.5663	0.37525
3.5688	0.37545
3.5712	0.37566
3.5737	0.37586
3.5761	0.37611
3.5786	0.37634
3.5811	0.37655
3.5836	0.37675
3.586	0.37697
3.5885	0.37723
3.591	0.37749
3.5935	0.37770
3.596	0.37792
3.5985	0.37814
3.601	0.37833
3.6035	0.37848
3.606	0.37870
3.6085	0.37894
3.611	0.37916
3.6135	0.37934
3.6161	0.37955
3.6186	0.37974
3.6211	0.37990
3.6236	0.38007
3.6262	0.38028
3.6287	0.38049
3.6313	0.38069
3.6338	0.38085
3.6363	0.38101
3.6389	0.38118
3.6414	0.38138
3.644	0.38156
3.6466	0.38174
3.6491	0.38194
3.6517	0.38212
3.6543	0.38230
3.6569	0.38249
3.6594	0.38266
3.662	0.38286
3.6646	0.38302
3.6672	0.38315
3.6698	0.38332
3.6724	0.38352
3.675	0.38373
3.6776	0.38396
