Brown University Keck/NASA Relab Spectrum LR-CMP-023/LALR23
Wavelength(micron)	Reflectance
3.484	0.17252
3.4863	0.17255
3.4887	0.17250
3.491	0.17253
3.4934	0.17249
3.4957	0.17247
3.4981	0.17235
3.5004	0.17234
3.5028	0.17245
3.5052	0.17254
3.5075	0.17282
3.5099	0.17306
3.5123	0.17320
3.5147	0.17326
3.5171	0.17332
3.5194	0.17338
3.5218	0.17331
3.5242	0.17334
3.5266	0.17351
3.529	0.17357
3.5314	0.17361
3.5338	0.17372
3.5362	0.17379
3.5387	0.17383
3.5411	0.17392
3.5435	0.17393
3.5459	0.17401
3.5483	0.17412
3.5508	0.17409
3.5532	0.17409
3.5556	0.17413
3.5581	0.17413
3.5605	0.17415
3.563	0.17422
3.5654	0.17425
3.5679	0.17434
3.5703	0.17437
3.5728	0.17441
3.5753	0.17441
3.5777	0.17443
3.5802	0.17443
3.5827	0.17450
3.5852	0.17456
3.5876	0.17458
3.5901	0.17460
3.5926	0.17464
3.5951	0.17474
3.5976	0.17486
3.6001	0.17489
3.6026	0.17487
3.6051	0.17489
3.6076	0.17500
3.6101	0.17506
3.6126	0.17511
3.6152	0.17515
3.6177	0.17517
3.6202	0.17517
3.6227	0.17528
3.6253	0.17534
3.6278	0.17532
3.6303	0.17531
3.6329	0.17530
3.6354	0.17538
3.638	0.17547
3.6405	0.17548
3.6431	0.17560
3.6457	0.17568
3.6482	0.17571
3.6508	0.17576
3.6534	0.17573
3.6559	0.17567
3.6585	0.17570
3.6611	0.17582
3.6637	0.17587
3.6663	0.17586
3.6689	0.17599
3.6715	0.17614
3.6741	0.17612
3.6767	0.17613
3.6793	0.17618
3.6819	0.17620
3.6845	0.17629
3.6872	0.17633
3.6898	0.17627
3.6924	0.17632
3.695	0.17643
3.6977	0.17648
3.7003	0.17651
3.703	0.17647
3.7056	0.17649
3.7083	0.17655
3.7109	0.17660
3.7136	0.17654
3.7162	0.17657
3.7189	0.17665
3.7216	0.17672
3.7242	0.17675
3.7269	0.17679
3.7296	0.17686
3.7323	0.17694
3.735	0.17699
3.7377	0.17698
3.7404	0.17694
3.7431	0.17702
3.7458	0.17704
3.7485	0.17709
3.7512	0.17714
3.7539	0.17723
3.7566	0.17727
3.7593	0.17730
3.7621	0.17735
3.7648	0.17749
3.7675	0.17748
3.7703	0.17744
