Brown University Keck/NASA Relab Spectrum LR-CMP-168/BIR2LR168
Wavelength(micron)	Reflectance
1.2109	0.16154
1.2112	0.16159
1.2115	0.16170
1.2118	0.16188
1.212	0.16200
1.2123	0.16196
1.2126	0.16198
1.2129	0.16216
1.2132	0.16232
1.2135	0.16246
1.2137	0.16256
1.214	0.16267
1.2143	0.16276
1.2146	0.16287
1.2149	0.16294
1.2152	0.16303
1.2154	0.16315
1.2157	0.16326
1.216	0.16333
1.2163	0.16341
1.2166	0.16352
1.2169	0.16363
1.2172	0.16373
1.2174	0.16378
1.2177	0.16392
1.218	0.16411
1.2183	0.16417
1.2186	0.16419
1.2189	0.16426
1.2192	0.16436
1.2194	0.16446
1.2197	0.16457
1.22	0.16468
1.2203	0.16475
1.2206	0.16480
1.2209	0.16497
1.2212	0.16514
1.2215	0.16522
1.2218	0.16525
1.222	0.16533
1.2223	0.16543
1.2226	0.16548
1.2229	0.16558
1.2232	0.16573
1.2235	0.16585
1.2238	0.16594
1.2241	0.16609
1.2243	0.16620
1.2246	0.16624
1.2249	0.16631
1.2252	0.16641
1.2255	0.16651
1.2258	0.16667
1.2261	0.16674
1.2264	0.16677
1.2267	0.16684
1.227	0.16692
1.2273	0.16700
1.2275	0.16711
1.2278	0.16724
1.2281	0.16733
1.2284	0.16747
1.2287	0.16755
1.229	0.16764
1.2293	0.16781
1.2296	0.16792
1.2299	0.16796
1.2302	0.16801
1.2304	0.16811
1.2307	0.16817
1.231	0.16828
1.2313	0.16845
1.2316	0.16850
1.2319	0.16857
1.2322	0.16862
1.2325	0.16871
1.2328	0.16888
1.2331	0.16895
1.2334	0.16896
1.2337	0.16902
1.234	0.16910
1.2343	0.16918
1.2346	0.16930
1.2348	0.16942
1.2351	0.16956
1.2354	0.16968
1.2357	0.16978
1.236	0.16991
1.2363	0.16998
1.2366	0.17002
1.2369	0.17014
1.2372	0.17026
1.2375	0.17037
1.2378	0.17043
1.2381	0.17046
1.2384	0.17053
1.2387	0.17067
1.239	0.17077
1.2393	0.17082
1.2396	0.17090
1.2399	0.17096
1.2402	0.17108
1.2405	0.17120
1.2408	0.17128
1.2411	0.17139
1.2413	0.17145
1.2417	0.17154
1.2419	0.17163
1.2422	0.17176
1.2425	0.17186
1.2428	0.17196
1.2431	0.17205
1.2434	0.17210
1.2437	0.17218
1.244	0.17231
1.2443	0.17244
1.2446	0.17250
1.2449	0.17254
1.2452	0.17263
1.2455	0.17269
1.2458	0.17280
1.2461	0.17295
1.2464	0.17304
1.2467	0.17310
1.247	0.17324
1.2473	0.17339
1.2476	0.17343
1.2479	0.17348
1.2482	0.17357
1.2485	0.17369
1.2488	0.17380
1.2491	0.17386
1.2494	0.17394
1.2497	0.17406
1.25	0.17417
1.2503	0.17426
1.2506	0.17436
1.2509	0.17444
1.2512	0.17455
1.2515	0.17460
1.2518	0.17466
1.2521	0.17477
1.2524	0.17487
1.2528	0.17496
1.2531	0.17506
1.2533	0.17515
1.2537	0.17525
1.254	0.17531
1.2543	0.17539
1.2546	0.17549
1.2549	0.17561
1.2552	0.17570
1.2555	0.17577
1.2558	0.17587
1.2561	0.17600
1.2564	0.17609
1.2567	0.17615
1.257	0.17621
1.2573	0.17630
1.2576	0.17639
1.2579	0.17651
1.2582	0.17663
1.2585	0.17669
1.2588	0.17675
1.2591	0.17687
1.2594	0.17696
1.2598	0.17703
1.2601	0.17710
1.2604	0.17723
1.2607	0.17737
1.261	0.17750
1.2613	0.17759
